list_title,url,price,area,category,prop_type,prop_title1,prop_title2,bedrooms,bathroom,facilities,size,size_unit
Menara Menjalara | Bandar Menjalara | Kepong | Medan Putra | BMV,https://www.mudah.my/Menara+Menjalara+Bandar+Menjalara+Kepong+Medan+Putra+BMV-82071137.htm,380000,Bandar Menjalara,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security, Balcony/Patio",986.0,sq.ft.
EcoSky Condominium for Sale,https://www.mudah.my/EcoSky+Condominium+for+Sale-83596429.htm,630000,Jalan Kuching,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,2,2,"Swimming Pool, Gymnasium, 24 Hour Security, Balcony/Patio",904.0,sq.ft.
Miharja Condo 980sf 3r2b Near MRT Cheras 100% Full Loan FREEHOLD,https://www.mudah.my/Miharja+Condo+980sf+3r2b+Near+MRT+Cheras+100+Full+Loan+FREEHOLD-80346778.htm,300000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",980.0,sq.ft.
Kepong Baru Single Storey House ( Well Kept Condition),https://www.mudah.my/Kepong+Baru+Single+Storey+House+Well+Kept+Condition+-75410291.htm,730000,Kepong,Houses,Single storey,Freehold,Non Bumi Lot,4,2,,1100.0,sq.ft.
[Monthly Installment 1100] 6 Star Environment come with theme park 2cp,https://www.mudah.my/+Monthly+Installment+1100+6+Star+Environment+come+with+theme+park+2cp-83553390.htm,388000,Kepong,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Bumi Lot,2,2,"Swimming Pool, Gymnasium, Tennis Court, Squash Court, Mini Market, Playground, Jogging Track, 24 Hour Security, Balcony/Patio, Cable TV",748.0,sq.ft.
[Installment 1800] Greenery Spacious Condo 1388sf Mco plus Hoc Package,https://www.mudah.my/+Installment+1800+Greenery+Spacious+Condo+1388sf+Mco+plus+Hoc+Package-83523831.htm,428800,Kepong,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Mini Market, Playground, Jogging Track, 24 Hour Security, Cable TV",1388.0,sq.ft.
"Amadesa Resort Condominium, Taman Desa Petaling, KL",https://www.mudah.my/Amadesa+Resort+Condominium+Taman+Desa+Petaling+KL-83709009.htm,398000,Desa Petaling,Apartments,Condo / Services residence / Penthouse / Townhouse,Leasehold,Non Bumi Lot,3,2,"Swimming Pool, Gymnasium, Tennis Court, Mini Market, Playground, 24 Hour Security, Balcony/Patio",1246.0,sq.ft.
Strata,https://www.mudah.my/Strata-83708987.htm,185000,OUG,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,2,2,,660.0,sq.ft.
"Fully Furnished Unit in One Residency, Bukit Bintang",https://www.mudah.my/Fully+Furnished+Unit+in+One+Residency+Bukit+Bintang-83708985.htm,800000,Bukit Bintang,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,1,1,"Swimming Pool, Gymnasium, Mini Market, Playground, 24 Hour Security, Balcony/Patio",749.0,sq.ft.
FOR SALE - Arena Green 2bd flat,https://www.mudah.my/FOR+SALE+Arena+Green+2bd+flat-83709391.htm,300000,Bukit Jalil,Apartments,Apartment/ Flat,Freehold,Non Bumi Lot,2,2,"Mini Market, Playground, 24 Hour Security, Balcony/Patio",742.0,sq.ft.
"Below Market Value, Aliran Damai Apartment, Damai Perdana, cheras",https://www.mudah.my/Below+Market+Value+Aliran+Damai+Apartment+Damai+Perdana+cheras-81627756.htm,250000,Cheras,Apartments,Condo / Services residence / Penthouse / Townhouse,Freehold,Non Bumi Lot,3,2,"Swimming Pool, 24 Hour Security, Balcony/Patio",850.0,sq.ft.
Taman Cheras Indah Cheapest unit in the area,https://www.mudah.my/Taman+Cheras+Indah+Cheapest+unit+in+the+area-83708938.htm,445000,Cheras,Houses,Double storey,Leasehold,Non Bumi Lot,3,2,,900.0,sq.ft.
